---------------DATE-------------------Username---------------PAGE------------------IP Address-----

----[22/December/2015 03:15:54]-------user_it----------/PII-FIX/index.php----------::1
----[22/December/2015 03:16:31]-------user_it----------/PII-FIX/index.php----------192.168.3.6
----[22/December/2015 03:18:58]-------user_it----------/PII-FIX/index.php----------::1
----[23/December/2015 03:22:22]-------user_it----------/PII-FIX/index.php----------::1
----[22/December/2015 03:23:46]-------user_it----------/PII-FIX/index.php----------::1
----[22/December/2015 09:33:50]-------user_it----------/PII-FIX/index.php----------::1
----[22/December/2015 09:38:00]-------user_rac----------/PII-FIX/index.php----------::1
----[22/December/2015 09:42:30]-------head_it----------/PII-FIX/index.php----------::1
----[22/December/2015 09:48:46]-------user_rac----------/PII-FIX/index.php----------::1
----[22/December/2015 09:52:20]-------head_it----------/PII-FIX/index.php----------::1
----[22/December/2015 10:45:39]-------user_rac----------/PII-FIX/index.php----------::1
----[22/December/2015 10:46:16]-------user_rac----------/PII-FIX/index.php----------::1
----[22/December/2015 10:50:56]-------head_it----------/PII-FIX/index.php----------::1
----[22/December/2015 01:19:18]-------user_it----------/PII-FIX/index.php----------::1
----[22/December/2015 01:27:34]-------user_it----------/PII-FIX/index.php----------192.168.3.6
----[22/December/2015 01:27:48]-------head_it----------/PII-FIX/index.php----------192.168.3.6
----[22/December/2015 01:28:56]-------head_it----------/PII-FIX/index.php----------::1
----[22/December/2015 01:29:26]-------head_it----------/PII-FIX/index.php----------192.168.3.6
----[01/February/2016 01:31:58]-------head_it----------/PII-FIX/index.php----------::1
----[22/December/2015 01:33:54]-------head_it----------/PII-FIX/index.php----------192.168.3.6
----[23/December/2015 09:04:15]-------head_it----------/PII-FIX/index.php----------::1
----[01/January/2016 09:16:23]-------head_it----------/PII-FIX/index.php----------::1
----[23/December/2015 09:18:50]-------user_it----------/PII-FIX/index.php----------::1
----[01/January/2016 09:20:15]-------user_it----------/PII-FIX/index.php----------::1
----[23/December/2015 09:21:31]-------head_it----------/PII-FIX/index.php----------::1
----[23/December/2015 09:37:46]-------head_it----------/PII-FIX/index.php----------::1
----[23/December/2015 05:41:08]-------user_rac----------/PII-FIX/index.php----------::1
----[28/December/2015 08:58:46]-------user_rac----------/PII-FIX/index.php----------::1
----[28/December/2015 09:02:02]-------user_it----------/PII-FIX/index.php----------::1
----[28/December/2015 09:03:43]-------user_it----------/PII-FIX/index.php----------::1
----[28/December/2015 09:11:40]-------user_it----------/PII-FIX/index.php----------::1
----[28/December/2015 09:17:54]-------user_it----------/PII-FIX/index.php----------::1
